order_id,customer_id,email,phone,country,status,total_amount,discount_amount,refund_amount,order_date,ship_date
1001.0,103.0,user103@example.com,010-7047-4839,Japan,cancelled,237740.0,68457.0,204270.0,2025-01-09,2025-01-10
1002.0,180.0,user180@example.com,010-2258-8609,USA,cancelled,373418.0,53577.0,364836.0,2024-12-02,2024-12-03
1003.0,93.0,user93@example.com,010-9706-5804,Japan,delivered,436557.0,117322.0,0.0,2025-01-24,2025-01-28
1004.0,,user15@example.com,010-1067-6660,USA,delivered,219659.0,21233.0,0.0,2024-12-08,2024-12-11
1005.0,107.0,user107@example.com,010-5478-9210,South Korea,cancelled,26613.0,1000.0,13334.0,2025-01-17,2025-01-18
1006.0,72.0,user72@example.com,010-4521-1572,korea,delivered,85028.0,12100.0,0.0,2024-12-27,2024-12-29
1007.0,189.0,user189@example.com,010-8082-8832,South Korea,pending,15326.0,524.0,0.0,2024-12-22,2024-12-26
1008.0,21.0,user21@example.com,010-6395-3258,South Korea,cancelled,328365.0,47877.0,170842.0,2025-01-06,2025-01-07
1009.0,103.0,user103@example.com,010-7039-1650,South Korea,shipped,169496.0,46796.0,0.0,2024-12-27,2025-01-01
1010.0,122.0,user122@example.com,010-6741-7838,South Korea,delivered,273527.0,42733.0,0.0,2025-01-26,2025-02-01
,75.0,user75@example.com,010-3587-8876,South Korea,shipped,249172.0,46084.0,0.0,2024-12-29,2024-12-31
1012.0,88.0,user88@example.com,010-4262-2338,South Korea,pending,45356.0,2131.0,0.0,2024-12-03,2024-12-09
1013.0,117.0,user117@example.com,010-5996-6780,France,delivered,204614.0,2685.0,0.0,2025-01-13,2025-01-19
1014.0,100.0,user100@example.com,010-3827-6232,South Korea,delivered,114178.0,3796.0,0.0,2024-12-13,2024-12-14
1015.0,104.0,user104@example.com,010-3217-4539,South Korea,shipped,212108.0,38086.0,0.0,2025-01-14,2025-01-16
1016.0,152.0,not-an-email,010-8845-5383,USA,shipped,105771.0,3015.0,0.0,2024-12-10,2024-12-12
1017.0,131.0,user131@example.com,010-3961-4226,Germany,shipped,421024.0,47491.0,0.0,2025-01-05,2025-01-08
1018.0,,user150@example.com,010-7837-8031,South Korea,delivered,91226.0,15055.0,0.0,2024-12-09,2024-12-15
